Node;stress;X;Y;Z
119394;2,40E-02;299,9999085;2 887,80224609;-75
120500;8,15E-02;299,9999085;2 887,80224609;-73,5
92951;1,03E-01;299,9999085;2 886,07592773;-76,5
94754;7,72E-02;299,9999085;2 886,07592773;-73,5
102795;2,03E-02;299,9999085;2 886,07592773;-75
120356;1,01E-01;299,9999085;2 884,34985352;-76,5
120357;3,00E-02;299,9999085;2 884,34985352;-75
120359;8,16E-02;299,9999085;2 884,34985352;-73,5
92950;9,81E-02;299,9999085;2 882,62377930;-76,5
94755;8,53E-02;299,9999085;2 882,62377930;-73,5
103311;1,84E-02;299,9999085;2 882,62377930;-75
119039;8,27E-02;299,9999085;2 880,89746094;-73,5
119040;2,52E-02;299,9999085;2 880,89746094;-75
121866;1,01E-01;299,9999085;2 880,89746094;-76,5
92949;9,83E-02;299,9999085;2 879,17138672;-76,5
94756;7,87E-02;299,9999085;2 879,17138672;-73,5
107355;1,59E-02;299,9999085;2 879,17138672;-75
117525;8,16E-02;299,9999085;2 877,44531250;-73,5
117526;2,45E-02;299,9999085;2 877,44531250;-75
123931;9,13E-02;299,9999085;2 877,44531250;-76,5
92948;9,17E-02;299,9999085;2 875,71923828;-76,5
94757;6,93E-02;299,9999085;2 875,71923828;-73,5
115283;1,81E-02;299,9999085;2 875,71923828;-75
106776;8,10E-02;299,9999085;2 873,99316406;-76,5
117523;1,32E-02;299,9999085;2 873,99316406;-75
117524;6,51E-02;299,9999085;2 873,99316406;-73,5
92947;8,53E-02;299,9999085;2 872,26708984;-76,5
94758;6,85E-02;299,9999085;2 872,26708984;-73,5
110123;2,32E-02;299,9999085;2 872,26708984;-75
116150;1,45E-02;299,9999085;2 870,54077148;-75
116151;7,82E-02;299,9999085;2 870,54077148;-73,5
117230;8,80E-02;299,9999085;2 870,54077148;-76,5
92946;8,29E-02;299,9999085;2 868,81469727;-76,5
94759;7,14E-02;299,9999085;2 868,81469727;-73,5
115658;1,87E-02;299,9999085;2 868,81469727;-75
115828;8,70E-02;299,9999085;2 867,08862305;-76,5
115829;2,43E-02;299,9999085;2 867,08862305;-75
116153;7,71E-02;299,9999085;2 867,08862305;-73,5
92945;8,28E-02;299,9999085;2 865,36230469;-76,5
94760;7,21E-02;299,9999085;2 865,36230469;-73,5
115824;1,38E-02;299,9999085;2 865,36230469;-75
115792;7,74E-02;299,9999085;2 863,63647461;-76,5
115793;1,69E-02;299,9999085;2 863,63647461;-75
124406;6,29E-02;299,9999085;2 863,63647461;-73,5
92944;7,72E-02;299,9999085;2 861,91040039;-76,5
94761;6,21E-02;299,9999085;2 861,91040039;-73,5
