Node;Force;X;Y;Z
16935;-7,89E-01;299,9999085;983,4862671;-75
27911;-1,54E+00;299,9999085;972,9873047;-75
16936;-8,67E-01;299,9999085;962,4883423;-75
25649;-1,37E+00;299,9999085;952,2626343;-75
16937;-1,14E+00;299,9999085;942,0369873;-75
24834;-1,17E+00;299,9999085;932,0131836;-75
16938;-1,41E+00;299,9999085;921,9893189;-75
46605;-7,01E-01;299,9999085;912,0323486;-75
16939;-1,06E+00;299,9999085;902,0754395;-75
44977;-8,45E-01;299,9999085;891,9923096;-75
16940;-1,50E+00;299,9999085;881,9091187;-75
41340;-1,08E+00;299,9999085;871,5827637;-75
16941;-1,15E+00;299,9999085;861,2564087;-75
29808;-9,01E-01;299,9999085;850,6629639;-75
16942;-1,36E+00;299,9999085;840,069519;-75
39293;-1,11E+00;299,9999085;829,1698608;-75
16943;-1,38E+00;299,9999085;818,2701416;-75
33211;-9,11E-01;299,9999085;807,1343994;-75
16944;-1,32E+00;299,9999085;795,9986572;-75
32567;-1,13E+00;299,9999085;784,9442139;-75
16945;-1,00E+00;299,9999085;773,8898315;-75
23618;-1,36E+00;299,9999085;763,1289063;-75
16946;-8,63E-01;299,9999085;752,3678589;-75
26595;-1,29E+00;299,9999085;741,8989868;-75
16947;-1,52E+00;299,9999085;731,4302368;-75
42726;-2,42E+00;299,9999085;721,2109985;-75
16948;-1,01E+00;299,9999085;710,9918213;-75
42744;-5,02E-01;299,9999085;700,9727173;-75
16949;1,19E+00;299,9999085;690,9536743;-75
28499;1,13E+00;299,9999085;680,9998779;-75
16950;-2,11E+00;299,9999085;671,0460815;-75
42853;-3,02E+00;299,9999085;660,9544678;-75
16951;-1,06E+00;299,9999085;650,862854;-75
24534;-8,66E-01;299,9999085;640,5245361;-75
16952;-1,01E+00;299,9999085;630,1861572;-75
46618;-1,42E+00;299,9999085;619,5593872;-75
16953;-1,07E+00;299,9999085;608,9326172;-75
46621;-1,41E+00;299,9999085;597,9921875;-75
16954;-1,37E+00;299,9999085;587,0518189;-75
44911;-1,48E+00;299,9999085;575,9710083;-75
16955;-9,96E-01;299,9999085;564,8901367;-75
46344;-5,66E-01;299,9999085;553,9177856;-75
16956;-9,53E-01;299,9999085;542,9453735;-75
39322;-1,67E+00;299,9999085;532,2140503;-75
16957;-1,15E+00;299,9999085;521,4827271;-75
39320;-1,56E+00;299,9999085;511,0231628;-75
16958;-1,39E+00;299,9999085;500,5636292;-75
45608;-1,57E+00;299,9999085;490,3595581;-75
16959;-8,04E-01;299,9999085;480,1554565;-75
31772;-7,07E-01;299,9999085;470,1599731;-75
16960;-1,80E+00;299,9999085;460,1644898;-75
31529;-1,20E+00;299,9999085;450,212738;-75
16961;-9,16E-01;299,9999085;440,2610169;-75
40163;-3,53E-01;299,9999085;430,1595154;-75
16962;-1,35E+00;299,9999085;420,0579834;-75
34010;-1,87E+00;299,9999085;409,6876526;-75
16963;-1,39E+00;299,9999085;399,3172607;-75
22930;-1,68E+00;299,9999085;388,6502991;-75
16964;-1,61E+00;299,9999085;377,9833374;-75
34109;-1,61E+00;299,9999085;367,0935669;-75
16965;-1,73E+00;299,9999085;356,2038269;-75
26339;-2,08E+00;299,9999085;345,2571106;-75
16966;-2,04E+00;299,9999085;334,3104248;-75
27982;-1,99E+00;299,9999085;323,4099426;-75
16967;-2,26E+00;299,9999085;312,509491;-75
24567;-7,18E-01;299,9999085;301,7857971;-75
16968;-3,96E+00;299,9999085;291,0621033;-75
24926;7,55E-01;299,9999085;280,6157532;-75
16969;-4,11E+00;299,9999085;270,169342;-75
24933;4,25E+00;299,9999085;259,9925232;-75
16970;-5,23E+00;299,9999085;249,8156738;-75
24280;3,15E+00;299,9999085;239,829895;-75
16971;-7,34E+00;299,9999085;229,844101;-75
23214;6,06E+00;299,9999085;219,8877411;-75
16972;-5,26E+00;299,9999085;209,9313812;-75
23218;-1,04E+00;299,9999085;199,7987671;-75
16973;-3,19E+00;299,9999085;189,666153;-75
47523;2,04E-01;299,9999085;179,2592163;-75
16974;-2,93E+00;299,9999085;168,8522797;-75
35489;-3,34E-01;299,9999085;158,1720734;-75
16975;-2,33E-01;299,9999085;147,4918671;-75
43827;-1,04E+00;299,9999085;136,6424255;-75
16976;1,22E+00;299,9999085;125,7929916;-75
36589;-4,06E+00;299,9999085;114,9109039;-75
16977;-1,07E+00;299,9999085;104,0288086;-75
32983;-1,05E+01;299,9999085;93,16438293;-75
16978;-1,17E+00;299,9999085;82,2999649;-75
37616;4,13E+01;299,9999085;71,60057068;-75
16979;2,90E+01;299,9999085;60,90118408;-75
37612;1,03E+01;299,9999085;50,50191879;-75
16980;-7,34E+01;299,9999085;40,10266113;-75
43517;-3,23E+01;299,9999085;29,99063492;-75
16981;-2,04E+01;299,9999085;19,87861061;-75
22186;1,57E+02;299,9999085;9,93930531;-75
16829;1,53E+02;299,9999085;0;-75
