Location,stress,X,Y,Z
58992  ,2.833e-02   ,305  ,1948.9  ,-73.5
58993  ,2.635e-02   ,305  ,1944.5  ,-73.5
58994  ,2.546e-02   ,305  ,1940.1  ,-73.5
58995  ,2.579e-02   ,305  ,1935.8  ,-73.5
58996  ,2.664e-02   ,305  ,1931.4  ,-73.5
58997  ,2.827e-02   ,305  ,1927  ,-73.5
58998  ,2.752e-02   ,305  ,1922.6  ,-73.5
58999  ,2.829e-02   ,305  ,1918.2  ,-73.5
59000  ,2.812e-02   ,305  ,1913.9  ,-73.5
59001  ,2.702e-02   ,305  ,1909.5  ,-73.5
59002  ,2.810e-02   ,305  ,1905.1  ,-73.5
59003  ,2.806e-02   ,305  ,1900.7  ,-73.5
59004  ,2.715e-02   ,305  ,1896.4  ,-73.5
59005  ,2.759e-02   ,305  ,1892  ,-73.5
59006  ,2.806e-02   ,305  ,1887.6  ,-73.5
59007  ,2.736e-02   ,305  ,1883.2  ,-73.5
59008  ,2.787e-02   ,305  ,1878.8  ,-73.5
59009  ,2.765e-02   ,305  ,1874.5  ,-73.5
59010  ,2.848e-02   ,305  ,1870.1  ,-73.5
59011  ,2.742e-02   ,305  ,1865.7  ,-73.5
59012  ,2.784e-02   ,305  ,1861.3  ,-73.5
59013  ,2.792e-02   ,305  ,1856.9  ,-73.5
59014  ,2.796e-02   ,305  ,1852.6  ,-73.5
59015  ,2.722e-02   ,305  ,1848.2  ,-73.5
59016  ,2.742e-02   ,305  ,1843.8  ,-73.5
59017  ,2.797e-02   ,305  ,1839.4  ,-73.5
59018  ,2.657e-02   ,305  ,1835  ,-73.5
59019  ,2.718e-02   ,305  ,1830.7  ,-73.5
59020  ,2.545e-02   ,305  ,1826.3  ,-73.5
59021  ,3.088e-02   ,305  ,1821.9  ,-73.5
59022  ,2.370e-02   ,305  ,1817.5  ,-73.5
59023  ,2.628e-02   ,305  ,1813.1  ,-73.5
59024  ,2.758e-02   ,305  ,1808.8  ,-73.5
59025  ,2.683e-02   ,305  ,1804.4  ,-73.5
59026  ,2.792e-02   ,305  ,1800  ,-73.5
